input_channel,filter,value#0,value#1,value#2,value#3,value#4,value#5,value#6,value#7,value#8,value#9,value#10,value#11,value#12,value#13,value#14,value#15,value#16,value#17,value#18,value#19,value#20,value#21,value#22,value#23,value#24,value#25,value#26,value#27,value#28,value#29,value#30,value#31,value#32,value#33,value#34,value#35,value#36,value#37,value#38,value#39,value#40,value#41,value#42,value#43,value#44,value#45,value#46,value#47,value#48,value#49,value#50,value#51,value#52,value#53,value#54,value#55,value#56,value#57,value#58,value#59,value#60,value#61,value#62,value#63,value#64,value#65,value#66,value#67,value#68,value#69,value#70,value#71,value#72,value#73,value#74,value#75,value#76,value#77,value#78,value#79,value#80,value#81,value#82,value#83,value#84,value#85,value#86,value#87,value#88
0.0,0.0,0.15967293083667755,0.20702014863491058,0.23273752629756927,0.23118291795253754,0.2970653474330902,0.33279505372047424,0.33701181411743164,0.38929450511932373,0.47242191433906555,0.6050724387168884,0.7557886838912964,0.7878863215446472,0.7573431134223938,0.7619447708129883,0.8418866991996765,0.9627959132194519,0.9284104108810425,0.9997138381004333,1.0420386791229248,0.9375501275062561,0.922540545463562,0.7392605543136597,0.6227440237998962,0.5296595692634583,0.48690876364707947,0.6107211112976074,0.6057191491127014,0.5698839426040649,0.575839102268219,0.43308156728744507,0.3295997679233551,0.35652127861976624,0.4672397971153259,0.624575138092041,0.7699402570724487,0.8945627212524414,0.8952114582061768,0.7630792856216431,0.5257948637008667,0.3372079133987427,0.23942013084888458,0.25967761874198914,0.4207073450088501,0.6654700636863708,0.8646303415298462,0.9545597434043884,1.0622751712799072,1.034263253211975,0.8401438593864441,0.6485196352005005,0.4195052981376648,0.2269497811794281,0.1137939915060997,0.059300363063812256,0.0502326563000679,0.18158170580863953,0.3897257447242737,0.5383366942405701,0.6319627165794373,0.7345470786094666,0.8366225957870483,0.9731209874153137,1.1891887187957764,1.2544465065002441,1.3604416847229004,1.274909496307373,1.1295804977416992,1.0806150436401367,0.9523053765296936,0.7415754795074463,0.49769362807273865,0.5407494902610779,0.6622224450111389,0.6754163503646851,0.6657556295394897,0.4310256540775299,0.1230616569519043,-0.0004543569521047175,0.005628225393593311,0.006756666582077742,0.005172704812139273,0.0065279616974294186,-0.0008215468260459602,0.017504332587122917,0.046236418187618256,0.07273069769144058,0.10226225107908249,0.11277898401021957,0.11590568721294403
0.0,1.0,2.6197333335876465,2.7889397144317627,2.9028537273406982,3.0180511474609375,3.1042861938476562,3.1454248428344727,3.131471633911133,3.034374475479126,2.9146852493286133,2.7861576080322266,2.632474184036255,2.3725595474243164,1.9451111555099487,1.4450702667236328,1.0720323324203491,0.9747333526611328,0.5996217727661133,0.22591868042945862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05806838348507881,0.23184193670749664,0.09464552998542786,0.2136663794517517,0.38764336705207825,0.7307867407798767,0.6408501863479614,0.3991478383541107,0.31771254539489746,0.22204716503620148,0.1068621277809143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38649508357048035,0.6719692945480347,0.7125701308250427,1.242567539215088,2.3910958766937256,3.5568606853485107,4.2074174880981445,4.524640083312988,4.876308917999268,5.319843292236328,5.685470104217529,5.875550270080566,5.957289218902588,5.999740123748779,6.030021667480469
0.0,2.0,0.5576045513153076,0.5915337204933167,0.6041359305381775,0.6141409873962402,0.6168480515480042,0.6171292662620544,0.6092709898948669,0.5836239457130432,0.5423375964164734,0.481112003326416,0.422536700963974,0.35461801290512085,0.2880234122276306,0.19717149436473846,0.12959885597229004,0.08544063568115234,0.04769758880138397,0.01610645465552807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023752570152282715,0.06631826609373093,0.0875062495470047,0.09252031147480011,0.09511836618185043,0.10547809302806854,0.07210210710763931,0.046696893870830536,0.02567114122211933,0.017266226932406425,0.004277606029063463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12224619835615158,0.2599116563796997,0.40273889899253845,0.5315622687339783,0.6939364075660706,0.8393369913101196,0.944282054901123,1.0193819999694824,1.080665946006775,1.1322349309921265,1.1672381162643433,1.1867175102233887,1.1968016624450684,1.2036536931991577,1.2090708017349243
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07000849395990372,-0.20406247675418854,-0.34484368562698364,-0.5896568298339844,-0.9698277711868286,-1.3184541463851929,-1.555923581123352,-1.7847137451171875,-1.9740138053894043,-2.0043246746063232,-1.9182500839233398,-1.8396174907684326,-1.7973997592926025,-1.7397918701171875,-1.6402941942214966,-1.6045472621917725,-1.5227620601654053,-1.373308539390564,-1.2799906730651855,-1.2546322345733643,-1.2695865631103516,-1.4093486070632935,-1.6541783809661865,-1.8876268863677979,-2.016057014465332,-2.0406973361968994,-1.9350782632827759,-1.7345614433288574,-1.512869119644165,-1.3883259296417236,-1.429487943649292,-1.5966166257858276,-1.8998829126358032,-2.242830514907837,-2.5356576442718506,-2.694387197494507,-2.7732064723968506,-2.666616201400757,-2.4137275218963623,-1.9943337440490723,-1.5104484558105469,-1.0641645193099976,-0.618279218673706,-0.24662788212299347,-0.035851072520017624,-0.12032592296600342,-0.2854022681713104,-0.5574386119842529,-0.91307532787323,-1.437951922416687,-2.0653798580169678,-2.6224706172943115,-3.0913655757904053,-3.5053446292877197,-3.787731409072876,-3.8575313091278076,-3.7452876567840576,-3.6657168865203857,-3.5982565879821777,-3.362546682357788,-2.929185152053833,-2.384782314300537,-2.098973035812378,-1.5218693017959595,-0.7928743362426758,-0.11777641624212265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09466513246297836,0.03217403218150139,0.14273609220981598,0.5008965134620667,1.0832020044326782,1.5765944719314575,2.172621965408325,2.548433780670166,2.590249538421631,2.541609048843384,2.3578741550445557,2.239342451095581,2.1676316261291504,2.086097002029419,2.0672974586486816,2.028585195541382,1.818885087966919,1.5379425287246704,1.2781026363372803,1.132080316543579,1.2322766780853271,1.6475406885147095,2.1383206844329834,2.5741469860076904,2.8714799880981445,2.8314483165740967,2.4655473232269287,1.9375149011611938,1.4583382606506348,1.3088622093200684,1.4867883920669556,1.9039570093154907,2.5229082107543945,3.0795512199401855,3.5963425636291504,3.853675127029419,3.898116111755371,3.656914234161377,3.2494914531707764,2.581852674484253,1.7128883600234985,0.8628446459770203,0.21391183137893677,0.0,-0.007185616530478001,-0.100674569606781,-0.040784601122140884,0.20342031121253967,0.8308271169662476,1.7619736194610596,2.8543760776519775,3.8166189193725586,4.5691914558410645,5.022982120513916,5.299534320831299,5.461752414703369,5.5838189125061035,5.107755661010742,4.614697456359863,4.220318794250488,4.296426296234131,3.773817777633667,2.7721643447875977,1.1708165407180786,0.1007780134677887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3811425268650055,-0.8617475628852844,-1.6096112728118896,-2.583200454711914,-3.526824951171875,-4.17061710357666,-4.534028053283691,-4.593293190002441,-4.477928638458252,-4.217616558074951,-4.002097129821777,-3.888928174972534,-3.7733712196350098,-3.5876359939575195,-3.3699703216552734,-3.014035701751709,-2.570161819458008,-2.3818392753601074,-2.511770248413086,-2.953976631164551,-3.657895088195801,-4.374228000640869,-4.881054878234863,-4.9543046951293945,-4.561594486236572,-3.9022443294525146,-3.2361137866973877,-2.8274600505828857,-2.9336605072021484,-3.4678964614868164,-4.325462341308594,-5.2916646003723145,-6.15951681137085,-6.744408130645752,-6.935658931732178,-6.678431987762451,-6.044033527374268,-5.038665771484375,-3.591587543487549,-2.1756174564361572,-1.1120890378952026,-0.4025322198867798,-0.0783471018075943,0.0,-0.03960391506552696,-0.5526435375213623,-1.4832749366760254,-2.8573710918426514,-4.554121017456055,-6.3571038246154785,-7.736165523529053,-8.736291885375977,-9.372701644897461,-9.878114700317383,-9.96417236328125,-9.537334442138672,-8.702123641967773,-8.256063461303711,-7.741312026977539,-6.887381553649902,-4.906198024749756,-3.1755571365356445,-1.5355571508407593,-0.483317494392395,-0.05049887299537659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04461883008480072,0.039229411631822586,-0.13326643407344818,0.035654108971357346,0.306896448135376,0.3618659973144531,0.5827163457870483,0.9880772233009338,1.3146803379058838,1.3771032094955444,1.2329609394073486,1.2904483079910278,1.2355338335037231,1.0347093343734741,1.051895022392273,1.119889497756958,1.052914023399353,0.9950881004333496,1.0064663887023926,0.8019043207168579,0.5566582679748535,0.5847682952880859,0.7128271460533142,0.9067198038101196,1.1575968265533447,1.4083516597747803,1.5719963312149048,1.4636926651000977,1.1599591970443726,0.8984373211860657,0.6720146536827087,0.6068950891494751,0.8385033011436462,1.0790009498596191,1.3299375772476196,1.6352641582489014,1.8634731769561768,1.9599000215530396,1.881103754043579,1.672972321510315,1.599282145500183,1.3686530590057373,0.6774090528488159,0.1318759024143219,0.0,0.05626942589879036,0.04105657711625099,-0.0643947497010231,-0.02951814979314804,0.235823854804039,0.6611979007720947,1.0050245523452759,1.5515661239624023,2.2439496517181396,2.418074607849121,2.2992513179779053,2.3530735969543457,2.803312301635742,3.0102217197418213,2.2363317012786865,1.605758786201477,1.879812240600586,2.699558973312378,2.1112966537475586,0.7011736631393433,0.07000389695167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,-1.3081742525100708,-1.5772439241409302,-1.6678255796432495,-1.7486495971679688,-1.8185343742370605,-1.8195810317993164,-1.9055497646331787,-2.01412296295166,-2.050154209136963,-2.0652177333831787,-1.948615312576294,-1.7589861154556274,-1.6910080909729004,-1.6558774709701538,-1.47994863986969,-1.0886225700378418,-1.0350514650344849,-1.04719877243042,-0.6206327080726624,-0.28112679719924927,-0.309481143951416,-0.17143279314041138,0.0,0.0,-0.05467146262526512,-0.045132145285606384,-0.01882319152355194,-0.029754072427749634,-0.03816535696387291,0.0,-0.028371162712574005,-0.19288137555122375,-0.3068351447582245,-0.2796270549297333,-0.3064323663711548,-0.29398950934410095,-0.177806094288826,-0.09528089314699173,-0.054081473499536514,0.0,0.0,-0.060864586383104324,-0.24411079287528992,-0.3499852418899536,-0.23937609791755676,-0.20617999136447906,-0.22730539739131927,-0.11796965450048447,0.0,0.0,0.0,0.0,0.0,-0.062065497040748596,-0.37140488624572754,-0.6431968212127686,-0.7094047665596008,-0.7297462821006775,-1.0355921983718872,-1.158553957939148,-1.0567092895507812,-0.9718030095100403,-0.9115341305732727,-0.7017802000045776,-0.4619626998901367,-0.2595538794994354,-0.12294962257146835,-0.05152454227209091,0.0,0.0,0.0,-0.02558819018304348,-0.021123450249433517,-0.008809923194348812,-0.013925964944064617,-0.017862744629383087,-0.3228868842124939,-0.805715799331665,-1.1010078191757202,-1.267295002937317,-1.704134464263916,-2.1370129585266113,-2.357741594314575,-2.522627353668213,-2.784003973007202,-2.9605910778045654,-3.0314674377441406,-3.0635552406311035,-3.0824344158172607
0.0,8.0,2.2108943462371826,2.3323490619659424,2.424907922744751,2.51045560836792,2.54559063911438,2.5705208778381348,2.5476787090301514,2.4789717197418213,2.3768503665924072,2.228623867034912,2.0188186168670654,1.7555978298187256,1.4360169172286987,1.086567997932434,0.7822689414024353,0.5756672620773315,0.365626722574234,0.11331835389137268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033300913870334625,0.13133150339126587,0.2171543389558792,0.27791154384613037,0.4062800407409668,0.5134997367858887,0.44899746775627136,0.2759428918361664,0.18394193053245544,0.13573652505874634,0.03818707540631294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17074750363826752,0.5704949498176575,0.9271098375320435,1.4697331190109253,2.360400676727295,3.103464126586914,3.5760841369628906,3.889240026473999,4.201752662658691,4.517278671264648,4.741252422332764,4.858112812042236,4.913563251495361,4.945718288421631,4.970595836639404
0.0,9.0,1.6914010047912598,1.771619439125061,1.8625984191894531,1.8808648586273193,1.8443801403045654,1.791487693786621,1.771825909614563,1.782698392868042,1.7234301567077637,1.5183297395706177,1.1678874492645264,0.8589627146720886,0.6987583041191101,0.6613447070121765,0.3891749978065491,0.05882963910698891,-0.1328214555978775,-0.07055073976516724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10175224393606186,0.11425744742155075,0.40629827976226807,0.7076727747917175,0.5400218963623047,0.3274970054626465,0.2249022126197815,0.18312983214855194,0.06525184959173203,-0.039704229682683945,-0.047847386449575424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02667328715324402,-0.2599804699420929,0.3620472252368927,1.3333327770233154,2.390047550201416,2.529717445373535,2.5352954864501953,2.7534854412078857,3.130354642868042,3.3996224403381348,3.465402841567993,3.4477155208587646,3.4438750743865967,3.453423261642456,3.4667861461639404,3.482032537460327
