input_channel,filter,value#0,value#1,value#2,value#3,value#4,value#5,value#6,value#7
0.0,0.0,-0.45874786376953125,-0.41749095916748047,-0.1427956074476242,-0.22705748677253723,0.1356697678565979,0.3532372713088989,0.44740983843803406,0.4064273238182068
0.0,1.0,-0.0928666740655899,-0.4627629518508911,-0.362849622964859,-0.3893645107746124,-0.26102977991104126,-0.01731036975979805,-0.38562628626823425,-0.19398552179336548
0.0,2.0,-0.17645910382270813,-0.3457416892051697,0.11582939326763153,-0.33310839533805847,-0.2602832317352295,-0.3630235195159912,-0.38259926438331604,-0.2408669888973236
0.0,3.0,0.015924643725156784,0.2873108983039856,0.5200949311256409,0.2886977195739746,0.5991138219833374,0.31736689805984497,0.18246538937091827,0.26473701000213623
0.0,4.0,0.11943401396274567,0.33505746722221375,0.6098761558532715,0.6068716645240784,0.22586210072040558,0.30517271161079407,0.497668594121933,0.15004676580429077
0.0,5.0,0.5149404406547546,0.4500065743923187,0.4330589175224304,0.5107367634773254,0.5033010840415955,0.5506207942962646,0.20896205306053162,0.5560059547424316
0.0,6.0,0.25538378953933716,0.2121495008468628,0.5652368068695068,0.5579742193222046,0.5768545866012573,0.6175965070724487,0.3598075211048126,0.29128366708755493
0.0,7.0,-0.5262420177459717,-0.502837598323822,-0.49136894941329956,-0.0983574315905571,0.08701629936695099,0.13299323618412018,0.3485631048679352,0.43299347162246704
0.0,8.0,-0.23854486644268036,-0.050270430743694305,0.058228667825460434,-0.35483017563819885,-0.26630762219429016,-0.2888071537017822,-0.20152336359024048,-0.22364923357963562
0.0,9.0,0.08124138414859772,-0.1970508098602295,-0.09298260509967804,-0.4832872152328491,-0.3233683407306671,-0.28537842631340027,-0.4107825458049774,-0.5767002701759338
