input_channel,filter,value#0,value#1,value#2,value#3,value#4
0.0,0.0,0.3868751525878906,0.2857319116592407,0.3912506699562073,0.368394672870636,-0.029439618811011314
0.0,1.0,0.543739914894104,0.4486154615879059,0.28898054361343384,-0.4466586709022522,0.5097804069519043
0.0,2.0,0.06368183344602585,0.02958599291741848,0.062120791524648666,0.014790266752243042,0.12373117357492447
0.0,3.0,-0.32744356989860535,-0.1916128545999527,-0.1845536231994629,-0.0978846549987793,-0.20439662039279938
0.0,4.0,0.43709754943847656,0.5420491695404053,0.2211618721485138,0.27981871366500854,-0.1670401692390442
0.0,5.0,-0.1268785446882248,-0.29041850566864014,-0.4530487060546875,-0.39933496713638306,-0.6060012578964233
0.0,6.0,0.1847316473722458,0.4673115611076355,0.029578164219856262,-0.335847944021225,0.14909210801124573
0.0,7.0,-0.4469551742076874,-0.3484504818916321,-0.22043873369693756,-0.5285433530807495,-0.6402584910392761
0.0,8.0,0.5569088459014893,0.4253232777118683,0.04935595393180847,0.29481902718544006,0.21363653242588043
0.0,9.0,-0.2987200617790222,0.3734292984008789,0.3123249113559723,0.5398119688034058,-0.20575417578220367
1.0,0.0,0.010531059466302395,0.026476677507162094,0.1254759132862091,0.05955155938863754,0.06359294056892395
1.0,1.0,0.326588898897171,0.2079518586397171,0.18058179318904877,0.24257759749889374,0.1566377431154251
1.0,2.0,0.060015156865119934,-0.04403366148471832,-0.010536685585975647,0.17627355456352234,0.034341298043727875
1.0,3.0,0.3417932987213135,-0.030598357319831848,0.05653988942503929,0.31115636229515076,0.46619051694869995
1.0,4.0,0.424559623003006,0.3219294846057892,0.033714424818754196,0.23214998841285706,0.11283606290817261
1.0,5.0,-0.2721945643424988,-0.008441008627414703,0.12779729068279266,-0.17986789345741272,-0.07984736561775208
1.0,6.0,0.05189118534326553,-0.009200147353112698,0.0989561378955841,-0.013401254080235958,0.4653555452823639
1.0,7.0,-0.4928297996520996,-0.19628973305225372,-0.4594677686691284,-0.37193554639816284,0.09204630553722382
1.0,8.0,0.34447890520095825,0.21596021950244904,-0.010325641371309757,0.37225112318992615,-0.03989545255899429
1.0,9.0,0.0013076183386147022,0.21327868103981018,0.3730897009372711,0.285278856754303,0.10169638693332672
2.0,0.0,0.003100686240941286,0.07009194046258926,0.133495032787323,-0.10603367537260056,0.2979884743690491
2.0,1.0,0.24534349143505096,-0.052612584084272385,0.32309478521347046,0.30727890133857727,0.1262790411710739
2.0,2.0,-0.1616554856300354,0.12790127098560333,0.02229790762066841,-0.2616461515426636,-0.14904160797595978
2.0,3.0,0.24492330849170685,-0.15446063876152039,-0.27316275238990784,-0.10278579592704773,0.2772280275821686
2.0,4.0,0.2660753130912781,0.1604158878326416,0.002148002153262496,0.181431382894516,-0.039049182087183
2.0,5.0,-0.36378613114356995,0.17357273399829865,0.22274264693260193,-0.21547767519950867,0.16634175181388855
2.0,6.0,0.05249574035406113,0.08390162140130997,0.17309804260730743,0.14564073085784912,0.4350525736808777
2.0,7.0,0.3273050785064697,-0.524661123752594,-0.27816903591156006,-0.34534674882888794,0.021524257957935333
2.0,8.0,0.3289165794849396,0.010129869915544987,0.24836088716983795,0.25243622064590454,0.21548068523406982
2.0,9.0,0.3988676369190216,0.38558995723724365,0.18115438520908356,0.0003341009432915598,0.2127751111984253
3.0,0.0,0.3207712471485138,0.40669214725494385,0.6094164252281189,0.21588189899921417,0.26783618330955505
3.0,1.0,0.2789067327976227,0.4181705117225647,0.49125584959983826,-0.33021628856658936,-0.1589975357055664
3.0,2.0,-0.18776021897792816,-0.2396489828824997,0.05046102777123451,-0.04090091586112976,0.05152769759297371
3.0,3.0,0.5303425788879395,0.5466036796569824,0.3853132426738739,-0.5701978206634521,-0.1949516385793686
3.0,4.0,-0.28469324111938477,-0.06895175576210022,0.1419064700603485,0.08439450711011887,0.030806653201580048
3.0,5.0,0.267780601978302,0.4406806230545044,0.24372684955596924,0.036077335476875305,0.12070201337337494
3.0,6.0,-0.07594971358776093,0.10046234726905823,0.3812097907066345,0.23145104944705963,-0.18604502081871033
