input_channel,filter,value#0,value#1,value#2
0.0,0.0,-0.12785805761814117,-0.2586299777030945,0.4404357075691223
0.0,1.0,-0.07931283116340637,0.2740333378314972,-0.018747389316558838
0.0,2.0,0.16818325221538544,0.42274388670921326,0.3294975161552429
0.0,3.0,0.49024897813796997,0.02635439671576023,0.08174955099821091
0.0,4.0,-0.12845845520496368,0.026629414409399033,0.5552886724472046
0.0,5.0,-0.36173388361930847,0.14172254502773285,0.4656394124031067
0.0,6.0,0.16650506854057312,0.22005996108055115,0.2750357985496521
0.0,7.0,0.013018216006457806,0.09767238050699234,0.3396752178668976
0.0,8.0,0.16595883667469025,0.36428970098495483,0.1308622807264328
0.0,9.0,-0.3690536618232727,-0.00917244702577591,0.17211802303791046
1.0,0.0,0.002487669698894024,-0.363787978887558,-0.6070556640625
1.0,1.0,-0.09721903502941132,-0.27013739943504333,-0.1264737993478775
1.0,2.0,-0.6004422903060913,-0.5687783360481262,0.1157865896821022
1.0,3.0,0.5932475924491882,0.4338930547237396,0.623626708984375
1.0,4.0,0.45617395639419556,0.46074631810188293,0.13209393620491028
1.0,5.0,-0.29672399163246155,0.16175587475299835,0.19708512723445892
1.0,6.0,-0.22738465666770935,-0.07241930812597275,0.19001516699790955
1.0,7.0,-0.09475041925907135,-0.37588346004486084,0.32322609424591064
1.0,8.0,-0.5713128447532654,-0.418382853269577,-0.3743264675140381
1.0,9.0,0.37027114629745483,0.3938450217247009,-0.14415273070335388
2.0,0.0,0.28675714135169983,-0.20651185512542725,-0.2566021680831909
2.0,1.0,-0.13854077458381653,-0.21142274141311646,0.3078126609325409
2.0,2.0,-0.08575543761253357,-0.013930185697972775,0.09731268137693405
2.0,3.0,0.09778336435556412,-0.17874926328659058,-0.28443974256515503
2.0,4.0,0.2752314507961273,0.024776456877589226,0.13442929089069366
2.0,5.0,-0.14130213856697083,0.01797838695347309,0.13632696866989136
2.0,6.0,-0.17669646441936493,-0.1927282065153122,-0.11958853900432587
2.0,7.0,0.10725989192724228,-0.20705904066562653,-0.18115836381912231
2.0,8.0,0.15253153443336487,-0.20300759375095367,-0.06767638772726059
2.0,9.0,0.3010932505130768,0.08807317167520523,-0.1831093728542328
3.0,0.0,-0.052983228117227554,-0.18382254242897034,-0.5686764121055603
3.0,1.0,0.2388019859790802,-0.2523687779903412,0.01832759380340576
3.0,2.0,-0.34423404932022095,-0.48625168204307556,0.49803468585014343
3.0,3.0,0.7214194536209106,0.4769130051136017,0.5428149700164795
3.0,4.0,-0.13119587302207947,0.21659331023693085,-0.5853354930877686
3.0,5.0,-0.45870453119277954,0.007778097875416279,-0.07595264911651611
3.0,6.0,0.1829071193933487,-0.30123811960220337,-0.2820430397987366
3.0,7.0,0.05932513251900673,-0.704001247882843,0.16658054292201996
3.0,8.0,-0.22008642554283142,-0.10631506145000458,0.24502268433570862
3.0,9.0,-0.18391932547092438,0.07317845523357391,0.17249126732349396
4.0,0.0,-0.24788208305835724,-0.07646943628787994,0.046478502452373505
4.0,1.0,0.160627543926239,-0.2385028898715973,-0.02122780680656433
4.0,2.0,-0.1831890195608139,0.4836779534816742,0.23776943981647491
4.0,3.0,0.630064070224762,-0.036635871976614,0.39520886540412903
4.0,4.0,0.1945856511592865,0.10898836702108383,0.18992802500724792
4.0,5.0,0.11790824681520462,-0.36153462529182434,-0.015544025227427483
4.0,6.0,0.2508750259876251,-0.25493180751800537,-0.20382854342460632
4.0,7.0,-0.5641510486602783,-0.545906662940979,-0.34316688776016235
4.0,8.0,-0.35444387793540955,0.347831666469574,0.6945900917053223
4.0,9.0,0.1571442037820816,0.38853615522384644,0.35959771275520325
5.0,0.0,-0.3158506453037262,-0.35806137323379517,0.4506085515022278
5.0,1.0,-0.13242603838443756,-0.29256299138069153,-0.0016843080520629883
5.0,2.0,-0.12997573614120483,0.3719489574432373,0.5503469705581665
5.0,3.0,0.1766601949930191,0.4426310062408447,-0.3436500132083893
5.0,4.0,-0.2935330271720886,0.16870087385177612,-0.08833544701337814
5.0,5.0,-0.019786572083830833,-0.17044220864772797,0.023560086265206337
5.0,6.0,-0.018033713102340698,0.17891381680965424,-0.15440751612186432
5.0,7.0,0.015600302256643772,-0.38750776648521423,0.12982138991355896
5.0,8.0,-0.38024279475212097,0.48049357533454895,0.3651629686355591
5.0,9.0,-0.7414249181747437,-0.35998961329460144,0.06284137070178986
6.0,0.0,-0.6418847441673279,-0.790757954120636,-0.7144274711608887
6.0,1.0,0.19547131657600403,-0.0959872454404831,0.10892879962921143
6.0,2.0,-0.23152942955493927,-0.04282156378030777,0.05883673578500748
6.0,3.0,0.660304069519043,0.15082947909832,0.24668951332569122
6.0,4.0,0.13218602538108826,0.37090033292770386,-0.025522252544760704
6.0,5.0,0.14708948135375977,-0.24187946319580078,0.22702768445014954
6.0,6.0,0.20534971356391907,-0.29621902108192444,-0.23507878184318542
6.0,7.0,-0.03159778192639351,-0.07372542470693588,0.35802650451660156
6.0,8.0,-0.6329358816146851,-0.697712242603302,-0.7271047234535217
6.0,9.0,-0.12073647230863571,0.27412378787994385,-0.05499561131000519
7.0,0.0,-0.1960192769765854,0.09610030800104141,0.2986530065536499
7.0,1.0,-0.007825970649719238,0.2446095049381256,-0.08280721306800842
7.0,2.0,-0.12782254815101624,0.4044695198535919,0.38714081048965454
7.0,3.0,0.40878915786743164,0.5380744934082031,-0.01846569962799549
7.0,4.0,-0.17431317269802094,0.17619170248508453,-0.4838382303714752
7.0,5.0,-0.4132211208343506,-0.034725163131952286,-0.16618429124355316
7.0,6.0,-0.3154158294200897,-0.21015168726444244,-0.3114610016345978
7.0,7.0,0.4265632629394531,-0.23114719986915588,0.48697608709335327
7.0,8.0,0.30004218220710754,0.3025100827217102,0.47519221901893616
7.0,9.0,-0.7653794884681702,-0.15580181777477264,-0.6354598999023438
8.0,0.0,-0.32937759160995483,-0.10652105510234833,0.28015369176864624
8.0,1.0,-0.29557177424430847,0.005298644304275513,-0.3137490153312683
8.0,2.0,-0.04810690879821777,0.4252343475818634,0.1781439483165741
8.0,3.0,0.5129467844963074,0.23936672508716583,0.21858035027980804
8.0,4.0,0.24215494096279144,0.07424390316009521,0.19595712423324585
8.0,5.0,-0.250984251499176,-0.2785203456878662,0.3776359558105469
8.0,6.0,-0.26112431287765503,-0.16787266731262207,0.11543983221054077
8.0,7.0,-0.3422446548938751,0.06450345367193222,-0.18171626329421997
8.0,8.0,0.05587438493967056,0.399838387966156,-0.02937915362417698
8.0,9.0,0.43065568804740906,-0.005242354702204466,-0.09938948601484299
9.0,0.0,0.08851201832294464,0.005948525387793779,-0.10526559501886368
9.0,1.0,0.22338160872459412,-0.01584726572036743,-0.2222023606300354
9.0,2.0,-0.11550994962453842,-0.23329375684261322,-0.18250519037246704
9.0,3.0,0.1694486141204834,0.10402365028858185,-0.09135188907384872
9.0,4.0,0.1592230349779129,0.07562356442213058,0.5159969925880432
9.0,5.0,0.2312459945678711,0.05420444905757904,0.042934734374284744
9.0,6.0,-0.30052322149276733,-0.3072165846824646,-0.3266298472881317
9.0,7.0,-0.6155015826225281,0.35958102345466614,0.39353278279304504
9.0,8.0,-0.25066596269607544,0.3647219240665436,-0.6234045028686523
9.0,9.0,0.3195178210735321,-0.1749606728553772,0.27492889761924744
