filter,value#0,value#1,value#2,value#3,value#4,value#5,value#6,value#7,value#8
0.0,0.0,2.613262891769409,0.0,0.06332670897245407,4.145062446594238,0.0,18.54499053955078,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,33.337158203125,30.694618225097656,36.30756378173828,51.35721206665039,49.13761901855469,65.76368713378906,72.68247985839844,3.9483537673950195
3.0,53.75294876098633,34.5156364440918,42.87782287597656,43.338565826416016,49.323753356933594,69.38455963134766,46.57366943359375,101.1278076171875,102.92442321777344
4.0,27.989831924438477,26.12971305847168,13.754623413085938,14.997000694274902,18.126632690429688,10.677630424499512,28.16318702697754,23.173065185546875,43.868350982666016
5.0,0.0,7.238264083862305,0.0,0.0,2.358067512512207,0.0,16.796674728393555,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,1.4817519187927246,10.016436576843262,10.759309768676758,0.10393968969583511,10.787181854248047,4.786378860473633,0.0
8.0,0.0,23.416549682617188,23.822782516479492,29.67774772644043,38.90988540649414,39.5072135925293,50.04941940307617,55.761600494384766,0.0
9.0,20.65238380432129,16.938114166259766,0.0,0.0,0.0,0.0,0.0,0.0,30.696027755737305
