filter,value#0,value#1,value#2,value#3,value#4,value#5,value#6,value#7,value#8,value#9,value#10,value#11,value#12,value#13,value#14,value#15,value#16,value#17,value#18,value#19,value#20,value#21,value#22,value#23,value#24,value#25,value#26
0.0,-35.59030532836914,-33.181480407714844,-26.7808837890625,-10.193885803222656,2.613262891769409,-0.5968514084815979,-7.9070539474487305,-9.152985572814941,-10.260074615478516,-1.7430022954940796,0.06332670897245407,-9.244292259216309,-10.197637557983398,4.145062446594238,0.6473382115364075,-18.271297454833984,-33.298797607421875,-25.239503860473633,1.8487712144851685,18.54499053955078,11.325417518615723,-9.005958557128906,-28.32795524597168,-48.37955856323242,-62.19548034667969,-59.70370101928711,-61.788631439208984
1.0,-10.209609985351562,-9.655247688293457,-7.16887903213501,-6.617397308349609,-5.5493879318237305,-6.378146171569824,-8.669443130493164,-9.518733024597168,-7.945925235748291,-10.423993110656738,-8.296917915344238,-8.819225311279297,-11.19488525390625,-12.26088809967041,-10.178793907165527,-12.046195030212402,-11.68461799621582,-11.001286506652832,-8.78538703918457,-9.87668228149414,-11.82480525970459,-16.28128433227539,-19.534914016723633,-18.50820541381836,-20.614625930786133,-21.68328094482422,-18.51488494873047
2.0,-9.679603576660156,-11.36474323272705,-11.405967712402344,-5.817431449890137,15.827988624572754,33.337158203125,30.694618225097656,26.48984718322754,22.616891860961914,19.316301345825195,32.71318817138672,36.30756378173828,21.794954299926758,31.357383728027344,51.35721206665039,49.13761901855469,23.030420303344727,-4.456228733062744,3.4609899520874023,38.156002044677734,65.76368713378906,72.68247985839844,63.8364143371582,42.36902618408203,3.9483537673950195,-10.505295753479004,-13.283814430236816
3.0,53.75294876098633,52.42510223388672,46.5524787902832,34.5156364440918,25.814207077026367,31.78958511352539,42.87782287597656,42.31082534790039,37.72190856933594,34.38262176513672,32.44927215576172,43.338565826416016,49.323753356933594,38.98830032348633,43.70116424560547,64.78489685058594,69.38455963134766,53.45379638671875,26.57646942138672,21.468252182006836,46.57366943359375,78.29579162597656,92.64826202392578,101.1278076171875,102.92442321777344,88.99759674072266,88.64159393310547
4.0,27.367280960083008,27.989831924438477,25.241132736206055,26.12971305847168,20.582134246826172,16.30536651611328,13.754623413085938,10.49155330657959,7.5779337882995605,14.997000694274902,11.643610954284668,11.254456520080566,18.126632690429688,16.437583923339844,17.277870178222656,10.677630424499512,8.784711837768555,9.394336700439453,17.739883422851562,25.02472496032715,28.16318702697754,23.173065185546875,18.409080505371094,12.332718849182129,24.178543090820312,27.774641036987305,43.868350982666016
5.0,-1.2474899291992188,-2.42033314704895,-3.19480562210083,2.5014102458953857,7.238264083862305,3.6241209506988525,-4.65034818649292,-7.575512409210205,-8.405477523803711,-2.318807363510132,-0.14568978548049927,-3.8740413188934326,-7.409099102020264,-1.4473854303359985,2.358067512512207,-8.959964752197266,-21.665935516357422,-19.757652282714844,1.672391414642334,16.796674728393555,9.370951652526855,-4.507083415985107,-13.047510147094727,-23.50667953491211,-21.15546226501465,-16.02886199951172,-0.29475730657577515
6.0,-18.195301055908203,-17.65278434753418,-14.31811809539795,-7.854644298553467,-3.040614604949951,-2.4428060054779053,-4.870898246765137,-5.148866653442383,-5.7091569900512695,-3.822634220123291,-4.385801315307617,-6.229433536529541,-5.941723346710205,-4.109905242919922,-4.754942417144775,-10.286974906921387,-13.977477073669434,-9.5816011428833,-2.98811411857605,-1.3631585836410522,-3.344409704208374,-8.26679515838623,-14.772581100463867,-20.722007751464844,-23.068199157714844,-28.109268188476562,-31.186595916748047
7.0,-13.97979736328125,-16.304838180541992,-16.387798309326172,-14.433693885803223,-0.011668145656585693,-0.7018464803695679,-2.4657607078552246,1.4817519187927246,0.9076020121574402,-0.35757604241371155,10.016436576843262,-1.7269784212112427,-6.161895751953125,10.759309768676758,6.616871356964111,0.10393968969583511,-10.00074291229248,-7.339539527893066,1.947664737701416,10.787181854248047,5.054845809936523,4.771488666534424,4.786378860473633,-0.6428832411766052,-12.054302215576172,-1.4530805349349976,-18.692829132080078
8.0,-26.506071090698242,-25.437294006347656,-21.28141975402832,-13.82735538482666,4.690691947937012,23.416549682617188,23.822782516479492,21.819143295288086,19.589677810668945,15.312024116516113,24.04698371887207,29.67774772644043,17.59397315979004,24.66208839416504,38.90988540649414,39.5072135925293,20.656885147094727,-0.7284164428710938,-1.9910610914230347,24.35957145690918,50.04941940307617,55.761600494384766,48.16039276123047,28.266597747802734,-10.788681983947754,-32.171875,-43.94671630859375
9.0,20.096874237060547,20.65238380432129,18.77641487121582,16.938114166259766,5.699728965759277,-3.9388961791992188,-13.421764373779297,-17.0906982421875,-15.413995742797852,-10.876443862915039,-13.764541625976562,-13.358508110046387,-14.244067192077637,-17.92098045349121,-15.259434700012207,-23.339134216308594,-20.991844177246094,-15.93813705444336,-0.9840406179428101,-0.39866524934768677,-12.473669052124023,-30.56488037109375,-37.09315490722656,-31.33443260192871,-15.7373685836792,1.5014677047729492,30.696027755737305
