filter,value#0,value#1,value#2,value#3,value#4,value#5,value#6,value#7,value#8
0.0,-26.7808837890625,2.613262891769409,-7.9070539474487305,0.06332670897245407,4.145062446594238,-18.271297454833984,18.54499053955078,-9.005958557128906,-59.70370101928711
1.0,-7.16887903213501,-5.5493879318237305,-7.945925235748291,-8.296917915344238,-10.178793907165527,-11.001286506652832,-8.78538703918457,-16.28128433227539,-18.51488494873047
2.0,-9.679603576660156,33.337158203125,30.694618225097656,36.30756378173828,51.35721206665039,49.13761901855469,65.76368713378906,72.68247985839844,3.9483537673950195
3.0,53.75294876098633,34.5156364440918,42.87782287597656,43.338565826416016,49.323753356933594,69.38455963134766,46.57366943359375,101.1278076171875,102.92442321777344
4.0,27.989831924438477,26.12971305847168,13.754623413085938,14.997000694274902,18.126632690429688,10.677630424499512,28.16318702697754,23.173065185546875,43.868350982666016
5.0,-1.2474899291992188,7.238264083862305,-4.65034818649292,-0.14568978548049927,2.358067512512207,-8.959964752197266,16.796674728393555,-4.507083415985107,-0.29475730657577515
6.0,-14.31811809539795,-2.4428060054779053,-4.870898246765137,-3.822634220123291,-4.109905242919922,-9.5816011428833,-1.3631585836410522,-8.26679515838623,-23.068199157714844
7.0,-13.97979736328125,-0.011668145656585693,1.4817519187927246,10.016436576843262,10.759309768676758,0.10393968969583511,10.787181854248047,4.786378860473633,-1.4530805349349976
8.0,-21.28141975402832,23.416549682617188,23.822782516479492,29.67774772644043,38.90988540649414,39.5072135925293,50.04941940307617,55.761600494384766,-10.788681983947754
9.0,20.65238380432129,16.938114166259766,-13.421764373779297,-10.876443862915039,-14.244067192077637,-15.93813705444336,-0.39866524934768677,-30.56488037109375,30.696027755737305
